 0,00 GAZP|302|68|Max Williams A/D | 3|1|3||4 дня падения, 1 дня в 
 0,00 GAZP|248|68|Max Williams A/D | 4|1|1||4 дня падения, 1 дня в 
 0,00 GAZP|248|68|Max Williams A/D | 4|1|2||4 дня падения, 1 дня в 
 0,00 GAZP|248|68|Max Williams A/D | 4|1|3||4 дня падения, 1 дня в 
 0,00 GAZP|214|68|Max Williams A/D | 5|1|1||4 дня падения, 1 дня в 
 0,00 GAZP|214|68|Max Williams A/D | 5|1|2||4 дня падения, 1 дня в 
 0,00 GAZP|214|68|Max Williams A/D | 5|1|3||4 дня падения, 1 дня в 
 0,00 GAZP|185|68|Max Williams A/D | 6|1|1||4 дня падения, 1 дня в 
 0,00 GAZP|185|68|Max Williams A/D | 6|1|2||4 дня падения, 1 дня в 
 0,00 GAZP|185|68|Max Williams A/D | 6|1|3||4 дня падения, 1 дня в 
 0,00 GAZP|164|68|Max Williams A/D | 7|1|1||4 дня падения, 1 дня в 
 0,00 GAZP|164|36|Max Williams A/D | 7|1|1||5 дня падения, 1 дня в 
 0,00 GAZP|164|68|Max Williams A/D | 7|1|2||4 дня падения, 1 дня в 
 0,00 GAZP|164|36|Max Williams A/D | 7|1|2||5 дня падения, 1 дня в 
 0,00 GAZP|164|68|Max Williams A/D | 7|1|3||4 дня падения, 1 дня в 
 0,00 GAZP|164|36|Max Williams A/D | 7|1|3||5 дня падения, 1 дня в 
 0,00 GAZP|152|68|Max Williams A/D | 8|1|1||4 дня падения, 1 дня в 
 0,00 GAZP|152|36|Max Williams A/D | 8|1|1||5 дня падения, 1 дня в 
 0,00 GAZP|152|68|Max Williams A/D | 8|1|2||4 дня падения, 1 дня в 
 0,00 GAZP|152|36|Max Williams A/D | 8|1|2||5 дня падения, 1 дня в 
 0,00 GAZP|152|68|Max Williams A/D | 8|1|3||4 дня падения, 1 дня в 
 0,00 GAZP|152|36|Max Williams A/D | 8|1|3||5 дня падения, 1 дня в 
 0,00 GAZP|141|68|Max Williams A/D | 9|1|1||4 дня падения, 1 дня в 
 0,00 GAZP|141|36|Max Williams A/D | 9|1|1||5 дня падения, 1 дня в 
 0,00 GAZP|141|68|Max Williams A/D | 9|1|2||4 дня падения, 1 дня в 
 0,00 GAZP|141|36|Max Williams A/D | 9|1|2||5 дня падения, 1 дня в 
 0,00 GAZP|141|68|Max Williams A/D | 9|1|3||4 дня падения, 1 дня в 
 0,00 GAZP|141|36|Max Williams A/D | 9|1|3||5 дня падения, 1 дня в 
 0,00 GAZP|132|36|Max Williams A/D |10|1|1||5 дня падения, 1 дня в 
 0,00 GAZP|132|36|Max Williams A/D |10|1|2||5 дня падения, 1 дня в 
 0,00 GAZP|132|36|Max Williams A/D |10|1|3||5 дня падения, 1 дня в 
 0,00 GAZP|127|36|Max Williams A/D |11|1|1||5 дня падения, 1 дня в 
 0,00 GAZP|127|36|Max Williams A/D |11|1|2||5 дня падения, 1 дня в 
 0,00 GAZP|127|36|Max Williams A/D |11|1|3||5 дня падения, 1 дня в 
 0,00 GAZP|121|36|Max Williams A/D |12|1|1||5 дня падения, 1 дня в 
 0,00 GAZP|121|36|Max Williams A/D |12|1|2||5 дня падения, 1 дня в 
 0,00 GAZP|121|36|Max Williams A/D |12|1|3||5 дня падения, 1 дня в 
 0,00 GAZP|112|36|Max Williams A/D |13|1|1||5 дня падения, 1 дня в 
 0,00 GAZP|112|36|Max Williams A/D |13|1|2||5 дня падения, 1 дня в 
 0,00 GAZP|112|36|Max Williams A/D |13|1|3||5 дня падения, 1 дня в 
 0,00 GAZP|107|36|Max Williams A/D |14|1|1||5 дня падения, 1 дня в 
 0,00 GAZP|107|36|Max Williams A/D |14|1|2||5 дня падения, 1 дня в 
 0,00 GAZP|107|36|Max Williams A/D |14|1|3||5 дня падения, 1 дня в 
 0,00 GAZP|103|36|Max Williams A/D |15|1|1||5 дня падения, 1 дня в 
 0,00 GAZP|103|36|Max Williams A/D |15|1|2||5 дня падения, 1 дня в 
 0,00 GAZP|103|36|Max Williams A/D |15|1|3||5 дня падения, 1 дня в 
 0,00 GAZP|97|36|Max Williams A/D |16|1|1||5 дня падения, 1 дня в 
 0,00 GAZP|97|36|Max Williams A/D |16|1|2||5 дня падения, 1 дня в 
 0,00 GAZP|97|36|Max Williams A/D |16|1|3||5 дня падения, 1 дня в 
 0,00 GAZP|92|36|Max Williams A/D |17|1|1||5 дня падения, 1 дня в 
 0,00 GAZP|92|36|Max Williams A/D |17|1|2||5 дня падения, 1 дня в 
 0,00 GAZP|92|36|Max Williams A/D |17|1|3||5 дня падения, 1 дня в 
 0,00 GAZP|89|36|Max Williams A/D |18|1|1||5 дня падения, 1 дня в 
 0,00 GAZP|89|36|Max Williams A/D |18|1|2||5 дня падения, 1 дня в 
 0,00 GAZP|89|36|Max Williams A/D |18|1|3||5 дня падения, 1 дня в 
 0,00 GAZP|87|36|Max Williams A/D |19|1|1||5 дня падения, 1 дня в 
